Strategy,Avg Test Edge,Median Test Edge,Positive Windows,Total Windows,Worst Test Edge,Avg Annual Return,Worst Max Drawdown,Avg Exposure,Max Exposure
"Core: Above200+Below20+5D<-2.0%, 1.50x, 5d, Fixed",0.012293419749375825,0.011518831304284771,6,8,-0.01472939625026437,0.13559479976304026,-0.5193910422445112,1.0598403729168662,1.5
"Def: Above200+Below20+5D<-2.0%, 1.75x, 7d, Recover20",0.011741369289398437,0.02919663362340852,6,8,-0.09520102487509585,0.13440651385963193,-0.3546692325167653,0.9902553822499975,1.75
"Core: Above200+Below20+5D<-3.0%, 2.00x, 5d, StopBelow200",0.011545639877684533,0.014386622311639119,6,8,-0.009126166609251252,0.13407100682792442,-0.5047333565588612,1.0486097628639608,2.0
"Core: Above200+Below20+5D<-1.5%, 1.50x, 7d, StopBelow200",0.011489100807931099,0.011043856318062317,6,8,-0.011215552272972884,0.1371573023934713,-0.523141153901971,1.095597919662329,1.5
"Core: Above200+Below20+5D<-1.5%, 2.00x, 3d, StopBelow200+Recover20",0.011341853569557997,0.00783626625860434,6,8,-0.04221503122024517,0.13749949886280466,-0.536621096408805,1.1076843225030066,2.0
"Core: Above200+Below20+5D<-3.0%, 1.75x, 10d, Fixed",0.011140244743385236,0.009545456691247511,6,8,-0.037265102987182885,0.1346677184234871,-0.5278636550072513,1.071378213906394,1.75
"Def: Above200+Below20+5D<-2.0%, 1.50x, 7d, Fixed",0.011089706733336355,0.02093468313530611,6,8,-0.06892364953721408,0.1337293680482223,-0.3534040834196899,0.9853501136932348,1.5
"Core: Above200+Below20+5D<-1.5%, 2.00x, 3d, StopBelow200",0.01108323410135302,0.011883690141665015,6,8,-0.0319860271906347,0.13803697706933687,-0.5506622491482533,1.1213636746350466,2.0
"Core: Above200+Below20+5D<-1.5%, 1.75x, 5d, StopBelow200+Recover20",0.010739107076392349,0.005749206237827875,6,8,-0.027507055302269823,0.1355963961827733,-0.5288230334839245,1.087245859654785,1.75
"Core: Above200+Below20+5D<-3.0%, 1.75x, 15d, StopBelow200",0.010572045821816006,0.012457206581048541,6,8,-0.024089559783418757,0.13531063735025603,-0.5214934914847575,1.088793461991232,1.75
"Core: Above200+Below20+5D<-2.5%, 2.00x, 5d, StopBelow200+Recover20",0.010285371246915032,0.012305476019779826,6,8,-0.03855110759892666,0.13398969937354066,-0.5214882090276204,1.065758254947733,2.0
"Core: Above200+Below20+5D<-3.0%, 2.00x, 5d, StopBelow200+Recover20",0.010180768139341337,0.012722397162203192,6,8,-0.01849369553602509,0.13241011715565662,-0.5047333565588605,1.0439990193236053,2.0
"Core: Above200+Below20+5D<-3.0%, 2.00x, 7d, StopBelow200",0.010166385168894676,0.01267945296119044,6,8,-0.020289191467758316,0.13366020024567488,-0.5099864300376691,1.065325407306777,2.0
"Core: Above200+Below20+5D<-1.5%, 1.50x, 10d, Recover20",0.010052355679050703,0.013548325540403028,6,8,-0.03257077325589419,0.13438386035118788,-0.5119504936167749,1.0792475967211308,1.5
"Core: Above200+Below20+5D<-2.0%, 1.50x, 7d, StopBelow200+Recover20",0.01001086864846465,0.009971859286991624,6,8,-0.012990153266777105,0.1328270553613741,-0.5116540821172517,1.051185734312614,1.5
"Def: Above200+Below20+5D<-2.0%, 1.75x, 10d, Fixed",0.010006763930480916,0.016966807635527492,6,8,-0.0521250412180323,0.13898477309330154,-0.3765586517688838,1.061050945865155,1.75
"Core: Above200+Below20+5D<-1.5%, 1.75x, 10d, StopBelow200+Recover20",0.010005038421599097,0.005618951358094371,6,8,-0.034171828493502865,0.1361177789970725,-0.5277384781487675,1.1060923701234053,1.75
"Core: Above200+Below20+5D<-2.0%, 1.75x, 10d, Recover20",0.009935452515847293,0.008243761646627545,6,8,-0.040187163298181616,0.13525326927259035,-0.5194192023676201,1.0964854687668582,1.75
"Def: Above200+Below20+5D<-2.0%, 2.00x, 5d, Fixed",0.00957282375471738,0.012001824771468161,6,8,-0.07739648309758285,0.1352765624592548,-0.39886694467619865,1.024698283573945,2.0
